01_latin_order,02_latin_tokens,03_eng_direct_tokens,1656_en,1743_en,1872_en,1886_en,1916_en,1936_en,full_list,nr_of_words,uniques
64.0,viget,"to be lively, be vigorous, thrive",kindely,fresh,breath,fresh,,,"['kindely', 'fresh', 'breath', 'fresh', 0, 0]",4.0,3.0
99.0,pergis,"to go, travel",goe,,,goest,walkest,goest,"['goe', 0, 0, 'goest', 'walkest', 'goest']",4.0,3.0
120.0,cupide,eagerly,,heat,glad,desire,,desire,"[0, 'heat', 'glad', 'desire', 0, 'desire']",4.0,3.0
130.0,nec,nothing,ought,nothing,nor,,,nothing,"['ought', 'nothing', 'nor', 0, 0, 'nothing']",4.0,3.0
190.0,quiescant,"sleep, repose, calmly, quietly",,compose,hushed,lulled,,lulled,"[0, 'compose', 'hushed', 'lulled', 0, 'lulled']",4.0,3.0
195.0,tranquilla,tranquil,,quiet,tranquil,calm,,quiet,"[0, 'quiet', 'tranquil', 'calm', 0, 'quiet']",4.0,3.0
218.0,ita,so ,,,thence,then,there,then,"[0, 0, 'thence', 'then', 'there', 'then']",4.0,3.0
226.0,inhians,"eager, gaping, yearning (open mouth)",passion,,apart,open-mouthed,open-mouthed,,"['passion', 0, 'apart', 'open-mouthed', 'open-mouthed', 0]",4.0,3.0
253.0,placidam,"a mild, placid",happy,,placid,gentle,,gentle,"['happy', 0, 'placid', 'gentle', 0, 'gentle']",4.0,3.0
274.0,rebus,things,perplexitie,things,,,task,task,"['perplexitie', 'things', 0, 0, 'task', 'task']",4.0,3.0
29.0,solis,sun,suns,sun’s,,sun,sun,sun,"['suns', 'sun’s', 0, 'sun', 'sun', 'sun']",5.0,3.0
52.0,diffuso,"to spread, pour out",,diffused,diffused,outspread,diffused,spreading,"[0, 'diffused', 'diffused', 'outspread', 'diffused', 'spreading']",5.0,3.0
71.0,te,you (acc),thee,thee,,o,thou,thee,"['thee', 'thee', 0, 'o', 'thou', 'thee']",5.0,3.0
79.0,vi,"strength, force, power, virtue",powr,power,power,power,,might,"['powr', 'power', 'power', 'power', 0, 'might']",5.0,3.0
87.0,rapidos,"tearing away, seizing, fierce",,rapid,rapid,rapid,bounding,racing,"[0, 'rapid', 'rapid', 'rapid', 'bounding', 'racing']",5.0,3.0
122.0,saecla,"for generations, for years",age,age,,races,generations,races,"['age', 'age', 0, 'races', 'generations', 'races']",5.0,3.0
